FID	IID	PHENO
1	1	2.171517
2	2	4.856231
3	3	1.773717
4	4	1.422615
5	5	5.113367
6	6	2.722815
7	7	4.089503
8	8	2.103361
9	9	2.446169
10	10	2.323701
11	11	1.8719
12	12	3.887179
13	13	2.043581
14	14	1.810272
15	15	2.342636
16	16	4.781458
17	17	4.174451
18	18	2.488384
19	19	2.805343
20	20	4.075372
21	21	5.184182
22	22	1.913085
23	23	2.910468
24	24	1.623177
25	25	1.828586
26	26	2.92875
27	27	2.185463
28	28	3.315366
29	29	3.459237
30	30	3.764231
31	31	4.007776
32	32	3.526608
33	33	4.558968
34	34	3.164987
35	35	1.78514
36	36	4.142735
37	37	3.325069
38	38	2.374894
39	39	1.642539
40	40	3.094408
41	41	5.340734
42	42	3.257394
43	43	2.395485
44	44	3.689487
45	45	2.223445
46	46	2.47326
47	47	2.761388
48	48	3.719976
49	49	3.31058
50	50	4.286042
51	51	3.467929
52	52	2.809812
53	53	1.510112
54	54	3.305173
55	55	2.635748
56	56	4.25307
57	57	1.790842
58	58	4.117979
59	59	3.696536
60	60	5.043025
61	61	1.553219
62	62	1.753561
63	63	4.169475
64	64	2.968117
65	65	2.089987
66	66	3.550722
67	67	5.23622
68	68	4.9038
69	69	4.837345
70	70	2.085147
71	71	2.127794
72	72	3.396403
73	73	4.216525
74	74	4.258653
75	75	5.17916
76	76	4.357702
77	77	2.112379
78	78	2.908676
79	79	2.494751
80	80	5.618979
81	81	4.665587
82	82	3.640009
83	83	3.189873
84	84	2.412152
85	85	3.241722
86	86	3.691769
87	87	3.078116
88	88	1.487348
89	89	4.159351
90	90	3.172232
91	91	3.87749
92	92	1.67843
93	93	4.191994
94	94	3.0967
95	95	3.632101
96	96	3.641257
97	97	2.570248
98	98	4.608672
99	99	3.185962
100	100	2.670259
101	101	4.203096
102	102	5.144516
103	103	3.168323
104	104	3.634074
105	105	2.965299
106	106	2.639509
107	107	2.451807
108	108	3.459869
109	109	5.029059
110	110	4.74134
111	111	3.454967
112	112	5.234252
113	113	2.289048
114	114	4.030084
115	115	3.67778
116	116	2.004764
117	117	2.501356
118	118	2.481188
119	119	1.769404
120	120	4.705638
121	121	5.417955
122	122	4.67621
123	123	4.321333
124	124	2.587914
125	125	4.296311
126	126	5.618282
127	127	2.972074
128	128	2.435815
129	129	3.70591
130	130	4.864882
131	131	2.408726
132	132	3.390743
133	133	2.771142
134	134	2.570976
135	135	4.772004
136	136	3.573149
137	137	3.144833
138	138	1.451874
139	139	2.539404
140	140	2.677619
141	141	3.182796
142	142	4.472416
143	143	4.604577
144	144	4.001417
145	145	1.986356
146	146	3.089783
147	147	3.915073
148	148	1.865366
149	149	3.554537
150	150	2.393994
151	151	1.823412
152	152	1.700151
153	153	4.04038
154	154	3.994697
155	155	3.370471
156	156	2.717658
157	157	1.753369
158	158	3.71802
159	159	3.187392
160	160	1.346974
161	161	4.289516
162	162	4.125481
163	163	1.596827
164	164	3.569929
165	165	1.556807
166	166	1.870018
167	167	1.618181
168	168	2.656807
169	169	2.422329
170	170	2.047293
171	171	3.410251
172	172	2.673933
173	173	3.079761
174	174	4.765672
175	175	4.464232
176	176	3.189477
177	177	2.275537
178	178	3.343995
179	179	2.932773
180	180	4.225963
181	181	2.664321
182	182	2.599097
183	183	4.488328
184	184	3.97676
185	185	2.34058
186	186	3.933507
187	187	2.511842
188	188	3.08533
189	189	2.806842
190	190	6.106589
191	191	3.967492
192	192	2.31409
193	193	3.229107
194	194	2.377777
195	195	1.704075
196	196	2.148114
197	197	2.31333
198	198	5.226966
199	199	1.757293
200	200	4.305028
201	201	4.43102
202	202	3.222486
203	203	1.988132
204	204	1.182565
205	205	3.569828
206	206	4.648572
207	207	1.362548
208	208	3.627398
209	209	3.027079
210	210	1.77975
211	211	4.024084
212	212	3.27341
213	213	3.749281
214	214	2.217304
215	215	2.464652
216	216	4.891588
217	217	4.231431
218	218	2.409724
219	219	2.393725
220	220	2.692745
221	221	3.329671
222	222	3.583123
223	223	1.763737
224	224	2.829914
225	225	5.810665
226	226	2.613091
227	227	1.979345
228	228	2.232498
229	229	5.152342
230	230	1.182752
231	231	2.469354
232	232	2.693104
233	233	1.754398
234	234	1.434074
235	235	4.101469
236	236	5.034495
237	237	1.913269
238	238	0.783871
239	239	2.996286
240	240	2.796574
241	241	2.944372
242	242	2.787571
243	243	2.038851
244	244	1.36346
245	245	3.844655
246	246	3.887189
247	247	2.879206
248	248	2.714808
249	249	1.41106
250	250	2.509272
251	251	4.509742
252	252	2.478575
253	253	2.887396
254	254	3.878614
255	255	3.238849
256	256	1.701593
257	257	1.801299
258	258	5.631345
259	259	2.635281
260	260	2.281004
261	261	3.536667
262	262	2.993335
263	263	3.693141
264	264	2.108976
265	265	3.888327
266	266	1.721386
267	267	3.174672
268	268	4.128047
269	269	3.042839
270	270	1.974943
271	271	3.986163
272	272	2.021967
273	273	3.720465
274	274	3.478222
275	275	2.378805
276	276	2.923283
277	277	3.471301
278	278	4.36799
279	279	2.486984
280	280	2.072693
281	281	3.638923
282	282	1.609388
283	283	2.985354
284	284	4.024496
285	285	2.003343
286	286	4.763162
287	287	2.401527
288	288	1.715525
289	289	2.199048
290	290	2.582575
291	291	0.778037
292	292	3.388829
293	293	5.374139
294	294	4.359543
295	295	2.47611
296	296	2.881695
297	297	4.156364
298	298	1.680241
299	299	5.279788
300	300	2.160985
301	301	2.765209
302	302	2.079252
303	303	2.029242
304	304	4.713393
305	305	2.698814
306	306	3.307508
307	307	5.085361
308	308	2.002835
309	309	1.691405
310	310	1.487005
311	311	2.138279
312	312	2.331484
313	313	3.353171
314	314	3.878294
315	315	1.725155
316	316	4.818253
317	317	2.788868
318	318	4.175361
319	319	2.744074
320	320	2.619489
321	321	2.321216
322	322	3.843565
323	323	3.540747
324	324	2.848941
325	325	2.074178
326	326	4.768964
327	327	2.824758
328	328	4.357378
329	329	1.051022
330	330	2.182477
331	331	4.191713
332	332	2.050622
333	333	3.78733
334	334	3.053372
335	335	1.702025
336	336	3.143012
337	337	2.141296
338	338	1.727698
339	339	4.010056
340	340	3.384324
341	341	2.263299
342	342	2.477842
343	343	3.343364
344	344	2.859337
345	345	1.990779
346	346	2.776707
347	347	3.944534
348	348	3.441
349	349	3.062897
350	350	2.360426
351	351	2.056952
352	352	2.220529
353	353	4.865129
354	354	1.993231
355	355	2.767689
356	356	4.508982
357	357	1.414893
358	358	4.120383
359	359	3.898232
360	360	3.658652
361	361	2.711642
362	362	2.018935
363	363	2.688506
364	364	1.651723
365	365	2.453762
366	366	5.557851
367	367	4.712583
368	368	2.376672
369	369	3.807519
370	370	2.106061
371	371	3.623944
372	372	3.568617
373	373	2.262018
374	374	5.133128
375	375	3.633034
376	376	4.518239
377	377	3.328273
378	378	2.909345
379	379	5.391278
380	380	4.068588
381	381	2.542459
382	382	3.13703
383	383	4.292659
384	384	3.649053
385	385	4.443756
386	386	2.28344
387	387	4.469179
388	388	1.799591
389	389	1.610246
390	390	3.760064
391	391	4.851029
392	392	5.610558
393	393	4.346513
394	394	3.209332
395	395	3.303702
396	396	3.233602
397	397	5.423451
398	398	3.503322
399	399	2.114897
400	400	2.18642
401	401	3.65528
402	402	1.947861
403	403	2.588595
